element,Z,Zv,channel,alpha1,alpha2,alpha3,c1,c2,c3,c4,c5,c6
Tm,69,23,core,8.00,3.20,,1.9772,-0.9772,,,,
Tm,69,23,l0,4.33,5.37,7.25,-12.2384,0.0973,0.0615,0.2781,0.0234,-0.0452
Tm,69,23,l1,4.16,5.01,6.32,-11.1663,0.4813,-0.1266,0.1557,0.0407,-0.0272
Tm,69,23,l2,0.99,1.09,4.76,-7.4010,-5.0757,-3.6580,-0.2274,-0.1009,0.1168
Tm,69,23,l3,10.70,23.01,97.41,8.0188,3.7007,-1.1219,0.1746,-0.5675,-0.0096
Tm,69,23,so1,1.63,2.12,2.44,-0.4907,-0.0433,0.0484,-0.0127,-0.0049,-0.0093
Tm,69,23,so2,0.46,0.82,1.03,-0.0329,-0.0119,0.0088,-0.0014,-0.0036,0.0052
Tm,69,23,so3,27.19,36.08,47.95,-0.0507,-0.0151,0.0022,-0.0013,0.0000,0.0004
Yb,70,24,core,8.21,3.28,,1.9271,-0.9271,,,,
Yb,70,24,l0,4.75,5.66,7.29,-12.2213,0.5562,-0.0038,0.2658,0.0464,-0.0411
Yb,70,24,l1,4.28,5.16,6.51,-11.1769,0.4612,-0.1191,0.1603,0.0419,-0.0283
Yb,70,24,l2,0.92,1.01,5.25,-7.1961,-5.2544,-4.0282,-0.4326,-0.0233,0.0352
Yb,70,24,l3,10.84,23.34,104.93,8.1067,3.8237,-1.1214,0.1763,-0.5767,-0.0296
Yb,70,24,so1,1.80,2.35,2.52,-0.5165,-0.0274,0.0481,-0.0093,-0.0027,-0.0100
Yb,70,24,so2,0.39,0.59,0.75,-0.0296,-0.0137,0.0082,-0.0043,0.0049,0.0083
Yb,70,24,so3,28.40,38.60,53.04,-0.0513,-0.0151,0.0015,-0.0009,0.0000,0.0002
Lu,71,25,core,8.50,3.40,,1.8919,-0.8919,,,,
Lu,71,25,l0,4.14,5.46,8.81,-12.2748,-0.7498,0.1571,0.3173,0.0005,-0.0580
Lu,71,25,l1,4.37,5.26,6.65,-11.2713,0.3629,-0.0966,0.1760,0.0399,-0.0307
Lu,71,25,l2,1.43,2.07,5.11,-8.1746,-4.8216,-2.0022,0.0534,-0.1323,0.0657
Lu,71,25,l3,10.00,27.95,77.78,8.1099,4.6874,-1.1615,0.0700,-0.7321,0.2595
Lu,71,25,so1,1.43,2.17,2.78,-0.5342,-0.1358,0.0406,-0.0209,-0.0045,-0.0146
Lu,71,25,so2,0.73,1.03,1.14,-0.0448,-0.0103,0.0103,-0.0043,0.0016,0.0049
Lu,71,25,so3,32.21,44.08,58.94,-0.0613,-0.0177,0.0028,-0.0013,-0.0001,0.0004
Hf,72,4,core,2.02,0.80,,5.8921,-4.8921,,,,
Hf,72,4,l0,0.96,1.28,1.51,-7.5055,0.1785,-0.2739,0.0967,0.0822,0.0337
Hf,72,4,l1,0.47,0.87,1.30,-6.3572,-2.0326,-0.5975,0.1046,0.0384,0.0356
Hf,72,4,l2,1.48,1.66,2.10,-3.1747,-0.7669,0.0457,-0.0085,0.0513,0.0490
Hf,72,4,l3,1.04,1.17,1.33,-4.8138,-1.0321,0.2355,0.0761,-0.0860,-0.0208
Hf,72,4,so1,0.17,0.26,0.32,-0.2748,-0.0769,0.0173,-0.0104,0.0076,-0.0054
Hf,72,4,so2,0.76,1.09,1.17,-0.0462,-0.0101,0.0113,-0.0049,0.0004,0.0047
Ta,73,5,core,2.16,0.86,,4.7264,-3.7264,,,,
Ta,73,5,l0,0.68,0.75,1.35,-7.7044,-1.6658,-0.3376,0.1727,-0.0935,0.0128
Ta,73,5,l1,0.63,0.94,1.21,-6.8198,-1.2014,-0.6058,0.0729,0.0285,0.0385
Ta,73,5,l2,1.65,1.82,2.53,-3.2040,-0.6699,0.0252,-0.0195,0.0403,0.0407
Ta,73,5,l3,1.02,1.19,1.47,-4.8229,-1.2430,0.1775,0.0635,-0.0915,-0.0207
Ta,73,5,so1,0.18,0.30,0.39,-0.2984,-0.0938,0.0193,-0.0086,0.0068,-0.0057
Ta,73,5,so2,0.76,1.24,1.49,-0.0512,-0.0161,0.0115,-0.0045,0.0016,0.0051
W,74,6,core,2.26,0.90,,3.9028,-2.9028,,,,
W,74,6,l0,0.70,0.77,1.38,-7.7271,-1.7108,-0.3426,0.1751,-0.0995,0.0111
W,74,6,l1,0.64,0.95,1.22,-6.8405,-1.2895,-0.6084,0.1061,0.0304,0.0404
W,74,6,l2,1.90,2.32,2.60,-3.1992,-0.4925,0.0550,-0.0235,0.0222,0.0360
W,74,6,l3,1.07,1.21,1.45,-4.8452,-1.2223,0.1783,0.0535,-0.0999,-0.0256
W,74,6,so1,0.19,0.29,0.36,-0.3033,-0.0960,0.0159,-0.0132,0.0103,-0.0074
W,74,6,so2,0.56,0.63,0.75,-0.0503,-0.0304,-0.0130,-0.0144,-0.0142,-0.0248
Re,75,7,core,2.44,0.98,,3.5075,-2.5075,,,,
Re,75,7,l0,0.80,0.88,1.26,-8.2984,-1.5845,-0.2659,0.1969,-0.1164,0.0271
Re,75,7,l1,0.84,1.03,1.17,-7.3294,-0.5431,-0.6469,0.0843,0.0255,0.0401
Re,75,7,l2,3.49,4.52,5.24,-3.3902,0.6188,-0.1286,-0.0317,-0.0240,-0.0112
Re,75,7,l3,1.14,1.25,1.46,-5.0854,-1.2739,0.1765,0.0644,-0.1049,-0.0289
Re,75,7,so1,0.22,0.33,0.40,-0.3363,-0.0973,0.0171,-0.0116,0.0087,-0.0086
Re,75,7,so2,0.63,0.70,0.91,-0.0573,-0.0336,-0.0163,-0.0188,-0.0200,-0.0266
Os,76,8,core,2.47,0.99,,2.9996,-1.9996,,,,
Os,76,8,l0,0.82,0.91,1.24,-8.2345,-1.5905,-0.2208,0.1894,-0.1200,0.0269
Os,76,8,l1,0.73,1.05,1.37,-7.1957,-1.2059,-0.5669,0.1161,0.0402,0.0300
Os,76,8,l2,3.20,4.02,4.94,-3.2781,0.3440,-0.0168,-0.0203,-0.0415,-0.0116
Os,76,8,l3,1.02,1.19,1.41,-5.0871,-1.6048,0.1234,0.0652,-0.1268,-0.0371
Os,76,8,so1,0.23,0.35,0.43,-0.3415,-0.0994,0.0206,-0.0140,0.0115,-0.0067
Os,76,8,so2,0.61,0.69,0.91,-0.0576,-0.0369,-0.0180,-0.0148,-0.0181,-0.0267
Ir,77,9,core,2.67,1.07,,2.8089,-1.8089,,,,
Ir,77,9,l0,1.06,1.16,1.39,-8.9278,-0.7827,-0.0945,0.2077,-0.0766,0.0004
Ir,77,9,l1,0.84,1.12,1.23,-7.4725,-0.9830,-0.6357,0.1348,0.0252,0.0400
Ir,77,9,l2,3.26,4.26,5.63,-3.5581,0.2703,-0.0036,-0.0238,-0.0415,-0.0083
Ir,77,9,l3,1.07,1.22,1.41,-5.3733,-1.7325,0.0969,0.0796,-0.1406,-0.0410
Ir,77,9,so1,0.55,1.27,1.36,-0.3470,0.0921,-0.0279,-0.0111,-0.0032,-0.0019
Ir,77,9,so2,0.73,0.82,1.21,-0.0669,-0.0401,-0.0160,-0.0117,-0.0082,-0.0200
Pt,78,10,core,2.71,1.08,,2.5166,-1.5166,,,,
Pt,78,10,l0,1.14,1.25,1.44,-8.8888,-0.5626,-0.0692,0.2058,-0.0575,-0.0091
Pt,78,10,l1,0.96,1.08,1.34,-7.7003,-0.5239,-0.5936,0.1341,0.0364,0.0254
Pt,78,10,l2,3.23,4.09,5.46,-3.4567,0.1513,0.0239,-0.0393,-0.0516,-0.0071
Pt,78,10,l3,0.97,1.14,1.37,-5.4558,-2.0590,-0.0027,0.0952,-0.1650,-0.0438
Pt,78,10,so1,1.26,0.40,0.49,-0.3813,-0.1176,0.0202,-0.0154,0.0116,-0.0094
Pt,78,10,so2,0.75,0.84,1.13,-0.0680,-0.0405,-0.0179,-0.0165,-0.0161,-0.0259
Au,79,11,core,2.85,1.14,,2.3778,-1.3778,,,,
Au,79,11,l0,1.09,1.24,1.62,-8.9867,-1.0964,-0.1164,0.2108,-0.0732,-0.0077
Au,79,11,l1,1.02,1.12,1.34,-7.8473,-0.5246,-0.6230,0.1483,0.0363,0.0278
Au,79,11,l2,3.34,3.78,4.97,-3.6440,0.0850,0.0286,-0.0597,-0.0456,0.0047
Au,79,11,l3,1.03,1.17,1.39,-5.6797,-2.0821,-0.0032,0.1156,-0.1733,-0.0507
Au,79,11,so1,0.26,0.39,0.49,-0.3833,-0.1289,0.0164,-0.0189,0.0144,-0.0110
Au,79,11,so2,0.89,1.04,1.39,-0.0791,-0.0452,-0.0148,-0.0113,-0.0058,-0.0191
Hg,80,12,core,2.99,1.20,,2.2533,-1.2533,,,,
Hg,80,12,l0,1.24,1.41,1.84,-9.5486,-0.8291,-0.0650,0.2058,-0.0641,-0.0092
Hg,80,12,l1,1.02,1.12,1.40,-7.9485,-0.7733,-0.6648,0.1799,0.0346,0.0315
Hg,80,12,l2,3.33,3.79,5.37,-3.7392,-0.0139,0.0408,-0.0636,-0.0453,0.0064
Hg,80,12,l3,0.94,1.07,1.18,-5.8931,-2.5065,-0.2075,0.1636,-0.2383,-0.0339
Hg,80,12,so1,0.66,1.52,1.63,-0.3943,0.1059,-0.0317,-0.0117,-0.0036,-0.0023
Hg,80,12,so2,0.89,1.00,1.39,-0.0796,-0.0457,-0.0193,-0.0181,-0.0157,-0.0257
Tl,81,3,core,1.77,0.59,,6.7158,-5.7158,,,,
Tl,81,3,l0,1.24,1.89,5.07,-7.6582,-0.0300,0.1161,0.3351,0.0637,-0.0059
Tl,81,3,l1,0.71,0.96,1.30,-5.8681,-1.0109,0.0245,0.2286,0.0178,-0.0129
Tl,81,3,l2,0.70,0.81,1.04,-6.0798,-0.8199,-0.5486,-0.1761,0.0331,0.1048
Tl,81,3,l3,0.91,1.09,1.21,-4.1125,-1.3267,0.4578,0.1868,-0.0910,-0.0456
Tl,81,3,so1,0.31,0.52,0.62,-0.3984,-0.1040,0.0451,-0.0222,0.0174,-0.0059
Tl,81,3,so2,0.20,0.24,0.32,0.0288,0.0753,0.0435,0.0094,-0.0219,0.0369
Pb,82,4,core,1.92,0.76,,6.5444,-5.5444,,,,
Pb,82,4,l0,1.40,1.98,3.57,-8.3268,0.1094,0.1191,0.3305,0.0557,0.0032
Pb,82,4,l1,0.95,1.21,1.77,-6.9590,-0.5127,0.0637,0.2131,0.0485,-0.0143
Pb,82,4,l2,0.79,0.91,1.20,-6.8182,-0.8903,-0.6033,-0.1888,0.0154,0.0916
Pb,82,4,l3,1.35,1.62,1.82,-4.0362,-1.0178,0.5641,0.1487,-0.1291,-0.0624
Pb,82,4,so1,0.45,0.71,0.82,-0.5058,-0.0654,0.0487,-0.0128,0.0136,-0.0117
Pb,82,4,so2,0.24,0.30,0.40,0.0257,0.0759,0.0376,0.0130,-0.0275,0.0245
Bi,83,5,core,2.03,0.81,,5.2104,-4.2104,,,,
Bi,83,5,l0,1.62,2.16,3.24,-8.6521,0.5682,0.0727,0.2679,0.0221,-0.0041
Bi,83,5,l1,1.23,1.48,1.75,-7.2503,0.3928,-0.0127,0.1712,0.0669,-0.0059
Bi,83,5,l2,0.92,1.04,1.34,-7.0492,-0.4597,-0.5518,-0.2095,0.0055,0.0813
Bi,83,5,l3,1.70,1.92,2.19,-3.6420,-0.7705,0.5327,0.0841,-0.1722,-0.0752
Bi,83,5,so1,0.47,0.77,0.89,-0.5574,-0.0931,0.0509,-0.0114,0.0107,-0.0147
Bi,83,5,so2,0.28,0.34,0.45,0.0246,0.0777,0.0401,0.0112,-0.0261,0.0260
Po,84,6,core,2.17,0.87,,4.4190,-3.4190,,,,
Po,84,6,l0,1.90,2.72,3.20,-8.8296,1.2562,-0.0868,0.1922,0.0340,-0.0101
Po,84,6,l1,1.46,1.82,2.27,-7.6222,0.9054,-0.1548,0.1081,0.0857,0.0076
Po,84,6,l2,1.03,1.17,1.51,-7.3062,-0.2355,-0.5527,-0.2228,0.0158,0.0829
Po,84,6,l3,3.28,2.58,2.99,-3.0770,-0.5522,0.4418,0.0114,-0.1948,-0.0717
Po,84,6,so1,0.46,0.77,0.96,-0.6012,-0.1455,0.0494,-0.0116,0.0019,-0.0156
Po,84,6,so2,0.31,0.40,0.52,0.0263,0.0854,0.0441,0.0114,-0.0277,0.0277
At,85,7,core,2.29,0.92,,3.8179,-2.8179,,,,
At,85,7,l0,1.94,2.25,2.85,-9.1942,0.9723,0.0808,0.2203,-0.0377,-0.0100
At,85,7,l1,1.70,2.13,2.67,-7.9335,1.3792,-0.3076,0.0369,0.0789,0.0139
At,85,7,l2,1.20,1.42,1.78,-7.4567,0.1638,-0.5722,-0.3036,-0.0089,0.0768
At,85,7,l3,3.37,3.81,4.33,-2.2899,-0.3680,0.2809,-0.1026,-0.2173,-0.0672
At,85,7,so1,0.40,0.51,0.72,-0.6197,-0.2427,-0.0158,-0.0265,0.0068,-0.0022
At,85,7,so2,0.35,0.46,0.60,0.0338,0.0977,0.0488,0.0138,-0.0318,0.0304
At,85,7,so3,0.96,1.47,1.85,-0.0207,-0.0058,0.0114,-0.0050,-0.0015,0.0046
Rn,86,8,core,2.45,0.98,,3.4235,-2.4235,,,,
Rn,86,8,l0,2.28,2.66,3.34,-9.2586,1.8254,-0.0335,0.1692,-0.0066,-0.0247
Rn,86,8,l1,2.11,2.58,2.80,-8.2305,2.1388,-0.6641,-0.0823,0.0514,0.0221
Rn,86,8,l2,1.39,1.61,1.99,-7.6190,0.5216,-0.6703,-0.3719,-0.0121,0.0857
Rn,86,8,l3,4.35,6.11,11.37,-1.8307,-0.7487,0.1902,-0.2562,-0.3020,-0.0472
Rn,86,8,so1,0.40,0.44,0.48,-0.6370,-0.2736,-0.0112,0.0834,0.1677,0.0721
Rn,86,8,so2,0.40,0.52,0.67,0.0462,0.1135,0.0536,0.0175,-0.0383,0.0353
Rn,86,8,so3,2.13,2.85,3.04,-0.0620,-0.0072,0.0296,-0.0124,-0.0069,0.0071
Fr,87,1,core,1.23,0.16,,8.4416,-7.4416,,,,
Fr,87,1,l0,0.36,0.53,0.69,-5.8904,-0.1647,-0.3018,0.1280,0.0584,0.0342
Fr,87,1,l1,0.16,0.31,0.96,-4.8581,-1.9964,-0.6630,0.0699,0.0869,0.0008
Fr,87,1,l2,0.36,0.40,0.63,-3.0529,-1.2715,-0.2513,0.0931,0.0451,0.0666
Fr,87,1,l3,0.38,0.43,0.52,-3.0166,-1.8140,0.5796,0.4211,-0.1318,-0.0554
Fr,87,1,so1,0.06,0.09,0.11,-0.3418,-0.1079,0.0164,-0.0148,0.0090,-0.0102
Fr,87,1,so2,0.17,0.27,0.33,-0.0454,-0.0141,0.0121,-0.0057,0.0001,0.0035
Ra,88,2,core,0.99,0.24,,6.1114,-5.1114,,,,
Ra,88,2,l0,0.49,0.63,0.74,-6.6907,0.5888,-0.2960,0.0687,0.0641,0.0304
Ra,88,2,l1,0.29,0.44,0.56,-6.0767,-0.6269,-0.4742,0.0163,0.0270,0.0352
Ra,88,2,l2,0.50,0.55,1.36,-3.4169,-0.8443,-0.0162,0.0274,0.0222,0.0217
Ra,88,2,l3,4.09,4.68,5.19,2.2350,-2.4528,0.9112,0.1423,-0.0204,0.0303
Ra,88,2,so1,0.13,0.28,0.32,-0.4357,0.0239,0.0183,0.0086,0.0045,0.0032
Ra,88,2,so2,0.19,0.24,0.31,-0.0583,-0.0278,0.0011,-0.0084,0.0076,0.0001
Ra,88,2,so3,1.45,2.17,2.74,-0.0441,-0.0127,0.0412,-0.0203,-0.0025,0.0205
Ac,89,3,core,1.49,0.31,,4.7270,-3.7270,,,,
Ac,89,3,l0,0.54,0.77,1.02,-8.2168,0.0920,-0.3962,0.0779,0.0604,0.0275
Ac,89,3,l1,0.25,0.43,1.28,-6.9513,-2.1603,-0.8600,-0.0054,0.1271,0.0022
Ac,89,3,l2,0.56,0.62,1.23,-4.4657,-1.3359,-0.1864,0.0158,0.0018,0.0184
Ac,89,3,l3,5.40,6.13,6.91,1.3312,-2.5472,0.8208,0.0024,0.0587,0.1169
Ac,89,3,so1,0.15,0.31,0.33,-0.4745,0.0254,0.0224,0.0063,0.0042,0.0039
Ac,89,3,so2,0.17,0.19,0.25,-0.0590,-0.0361,-0.0133,-0.0101,-0.0071,-0.0220
Ac,89,3,so3,1.84,2.26,2.98,-0.0409,-0.0195,-0.0022,-0.0031,0.0029,-0.0010
Th,90,4,core,1.59,0.40,,4.3902,-3.3902,,,,
Th,90,4,l0,0.62,0.77,1.35,-9.0342,0.2160,-0.4277,0.0541,0.0790,0.0243
Th,90,4,l1,0.44,0.48,0.55,-8.4035,-0.5210,-0.8289,0.2778,-0.0169,0.0888
Th,90,4,l2,0.71,0.78,1.39,-5.1907,-1.1444,-0.0440,0.0631,0.0061,0.0126
Th,90,4,l3,6.10,6.99,7.92,0.9203,-2.4893,0.8255,-0.0430,0.0225,0.1112
Th,90,4,so1,0.13,0.25,0.33,-0.4753,0.0100,0.0973,0.0201,-0.0170,0.0018
Th,90,4,so2,0.23,0.27,0.36,-0.0754,-0.0409,-0.0109,-0.0118,-0.0029,-0.0174
Th,90,4,so3,2.08,2.55,3.36,-0.0449,-0.0206,-0.0025,-0.0029,0.0026,-0.0010
Pa,91,5,core,2.06,0.45,,3.8349,-2.8349,,,,
Pa,91,5,l0,0.56,0.80,1.07,-9.5369,-1.1466,-0.5565,0.2043,0.0460,0.0300
Pa,91,5,l1,0.56,0.66,0.75,-9.4357,-0.2689,-1.1084,0.0661,-0.0646,0.0446
Pa,91,5,l2,0.65,0.73,0.94,-5.8109,-2.0532,-0.3147,0.1394,-0.0207,0.0288
Pa,91,5,l3,7.31,8.53,11.54,0.2527,-2.0863,0.8840,0.0351,-0.1739,0.1578
Pa,91,5,so1,0.15,0.29,0.38,-0.4599,0.0881,0.1202,0.0314,-0.0267,0.0042
Pa,91,5,so2,0.20,0.23,0.29,-0.0656,-0.0390,-0.0133,-0.0131,-0.0080,-0.0240
Pa,91,5,so3,1.80,4.20,11.43,-0.0460,-0.0306,-0.0002,-0.0012,-0.0008,0.0012
U,92,6,core,2.08,0.50,,3.5183,-2.5183,,,,
U,92,6,l0,0.60,0.76,1.06,-9.6565,-1.0562,-0.6184,0.2244,0.0435,0.0270
U,92,6,l1,0.52,0.62,0.70,-9.5702,-0.9102,-1.1087,0.2426,-0.0947,0.0639
U,92,6,l2,0.66,0.75,0.86,-5.8926,-2.2312,-0.3447,0.1552,-0.0291,0.0317
U,92,6,l3,7.27,8.62,12.50,0.3088,-2.0827,0.8200,0.0050,-0.1939,0.1305
U,92,6,so1,0.16,0.30,0.39,-0.5079,0.0599,0.1053,0.0283,-0.0202,0.0011
U,92,6,so2,0.20,0.22,0.29,-0.0656,-0.0414,-0.0128,-0.0018,0.0019,-0.0199
U,92,6,so3,1.84,2.15,2.34,-0.0490,-0.0311,-0.0134,0.0041,-0.0002,-0.0007
Np,93,7,core,2.72,0.60,,3.5099,-2.5099,,,,
Np,93,7,l0,0.62,0.91,1.17,-10.4153,-2.0222,-0.9596,0.3000,-0.0075,0.0778
Np,93,7,l1,0.50,0.82,1.03,-10.1156,-2.4063,-1.4851,0.1011,-0.1430,0.1141
Np,93,7,l2,0.83,0.92,1.06,-7.3516,-2.4042,-0.3586,0.2802,-0.0396,0.0466
Np,93,7,l3,10.07,13.17,17.30,-1.1744,-1.4501,0.9518,0.2863,-0.2900,-0.1468
Np,93,7,so1,0.14,0.21,0.26,-0.5832,-0.0985,0.0640,-0.0126,0.0003,-0.0065
Np,93,7,so2,0.30,0.35,0.43,-0.0880,-0.0427,-0.0064,-0.0079,0.0083,-0.0076
Np,93,7,so3,2.07,3.81,15.69,-0.0504,-0.0319,-0.0044,-0.0027,-0.0004,0.0014
Pu,94,8,core,2.76,0.62,,3.1671,-2.1671,,,,
Pu,94,8,l0,0.59,0.94,1.25,-10.2963,-2.4940,-0.9263,0.3236,-0.0057,0.0676
Pu,94,8,l1,0.59,0.83,0.92,-10.2746,-1.6981,-1.5450,0.1102,-0.1780,0.1118
Pu,94,8,l2,0.93,1.02,3.49,-7.5476,-2.1067,-0.3096,0.0732,0.1190,-0.0164
Pu,94,8,l3,10.23,13.36,17.64,-1.0461,-1.4985,0.9908,0.3096,-0.2679,-0.1382
Pu,94,8,so1,0.15,0.23,0.27,-0.6093,-0.0944,0.0628,-0.0075,0.0029,-0.0069
Pu,94,8,so2,0.33,0.41,0.54,-0.0987,-0.0487,-0.0066,-0.0083,0.0087,-0.0075
Pu,94,8,so3,2.12,4.64,13.73,-0.0520,-0.0335,-0.0004,-0.0019,-0.0005,0.0010
